census_track_number,population_16_and_over_with_earnings,population_margin_of_error,total_median_earnings,median_earnings_margin_of_error,total_full_time_year_round_workers,full-time-margin-of-error,total_workers_less_than_10k,less_than_10k_margin_of_error,total_workers_less_than_15k,less_than_15k_margin_of_error,total_workers_less_than_25k,less_than_25k_margin_of_error,total_workers_less_than_35k,less_than_35k_margin_of_error,total_workers_less_than_50k,less_than_50k_margin_of_error,total_workers_less_than_65k,less_than_65k_margin_of_error,total_workers_less_than_75k,less_than_75k_margin_of_error,total_workers_less_than_100k,less_than_100k_margin_of_error,total_workers_more_than_100k,more_than_100k_margin_of_error,total_mean_earnings,mean_earnings_margin_of_error
1082.18,4617,405,52350,4665,3681,359,0,0.5,3.4,2.3,5.8,3.5,10.9,3.6,17.3,5,22.7,6.7,6.9,3.7,13,4,19.9,6.1,69870,6464
1082.19,3493,279,39963,8601,2081,203,1.6,2.5,1,1.6,6.2,4.1,11.1,4.5,17.3,7.1,16.5,5.2,12.5,6.7,12.7,5.9,21,6.2,88144,16425
1082.2,3027,263,40841,2392,2040,222,2.5,2.6,2,1.8,8.5,4.3,12,4.9,17.1,5.1,22,5.9,5.7,2.8,14.9,4.6,15.3,5.2,68394,8636
1082.21,4236,295,48370,8633,3140,240,0,0.6,2,1.5,7.5,3.6,13,4.9,13.8,3.9,16.9,4.4,8.3,3.2,14,4.8,24.4,5.2,75312,6131
1083.01,976,104,24745,3012,651,105,5.7,5,0.3,0.8,30.1,9.1,15.1,6.5,17.7,8,19.2,6.6,2.3,2.1,4.6,3.7,5.1,3.3,42402,4700
1083.02,2967,301,30874,3103,2009,264,3.5,2.8,5.3,3.7,13.1,4.9,16.6,5.3,22.5,5.2,14.9,5.4,8.2,3.3,7.9,3.7,7.9,2.9,53361,5445
1083.03,3819,326,30780,3110,2218,300,1.5,1.3,4.9,3.9,9.3,4.6,18.9,6.7,22.9,6.6,19.7,6.3,8.5,4.6,6.7,4.9,7.7,3.3,51799,5751
1083.04,2576,297,35484,5734,1690,193,3.6,3.1,1.8,2,7.9,4.2,16.5,6.6,23.7,7.3,19.1,6.1,8.7,3.8,12.5,5.5,6.3,3.4,53455,6051
1083.07,3057,391,25018,3341,2024,305,0,1,6.2,4.7,23,6.7,19.8,6.8,11.2,6.1,17.5,7,8.3,4.9,7.8,3.4,6.4,4.3,45197,5013
1083.09,1155,189,22236,2148,702,137,2.8,4.4,6,4.9,32.6,13.4,20.1,7.4,20.9,8,15.1,8.6,0.7,1.1,1.1,1.5,0.6,1.1,33333,3643
1083.1,1387,137,27338,6243,942,169,0,2.1,5.2,4.4,25.9,10.8,23.7,8.8,26.1,8.2,10.1,6,5.4,3.9,2.9,2.7,0.7,1.2,37623,5155
1083.13,3759,372,21688,2038,2423,243,1.8,2.1,8.7,5.6,29.4,8.9,31.4,8.1,20.7,7.3,4.6,3.1,0,0.8,3.4,3,0,0.8,30357,2520
1083.14,1728,285,25625,8191,1064,209,3.2,4.3,0,1.9,17.8,9,19.1,8.6,33,12.3,23.7,12,0.8,1.5,2.1,3.1,0.4,0.9,40157,3868
1083.15,3498,511,39295,4616,2470,379,0,0.8,3,4.7,9.1,4.9,20.7,7.5,15,6.1,18.1,6.7,8.5,5.5,11.2,7.3,14.4,5.1,64430,7877
1083.16,3539,323,51212,6923,2738,248,0,0.7,1.6,2.1,2.6,2.5,7.6,3.6,25,7.5,20.9,7.5,8.3,4.6,15.7,7.5,18.4,7,74300,10757
1083.17,2055,241,37466,4453,1431,179,0.6,1.1,3.8,2.7,11.9,6.3,9.9,4.6,28.4,6.2,15,5.6,11,5.6,12.3,6.3,6.8,4.9,52314,4815
1083.18,3075,256,44648,3722,2156,212,0.9,1.1,0.6,0.8,11.1,5.1,6.9,2.9,19.5,6.2,19.7,6.7,6.1,3.5,10.2,4,25,6.3,87448,13843
1084.02,832,97,39779,5991,572,93,0,3.4,3.1,2,8.6,4.7,12.8,8.3,23.8,9,15,6.2,5.1,3.4,15.6,5.3,16.1,5.7,63270,7293
1084.03,1471,185,35288,4768,1026,147,0.7,1.1,2.8,4.6,9.6,6.3,20.4,7.3,32.8,11.5,13.9,5.6,4.1,3.6,10.4,5.7,5.3,4.2,46902,4884
1084.04,1537,170,38418,5018,1067,170,0,1.9,0,1.9,17.5,6.8,14.5,7.9,20.5,7.2,15.6,6,8.5,4.4,7.8,6.7,15.6,9.1,61341,10961
1085.04,3999,361,32150,3991,2884,344,0.6,0.9,2.1,1.9,16,8.3,22.9,6,13.5,5.3,17.4,6,3.2,2.4,10.6,4.7,13.7,4.4,65169,10028
1085.06,2299,276,32556,5260,1587,182,5.9,4.6,1.7,1.6,9.5,4.9,21.9,8,13.7,5.7,8.6,3.5,5.1,3.4,13.5,4.9,20.2,5.6,75831,14426
1085.07,702,110,41419,4106,434,85,0,4.5,0.9,1.7,3.5,3.4,11.5,6.4,24.4,8.3,15.2,7.1,6.7,4.8,10.1,5.7,27.6,9.2,86387,16604
1085.08,1160,125,30662,5221,754,112,1.5,1.4,1.9,1.5,20.4,6.9,17.4,8.8,28.1,8.9,18.3,5.8,2.1,2.2,6.6,3.3,3.7,2.8,43489,3716
1085.11,3977,399,55199,8989,3076,324,1.9,2.2,1,1.2,8.2,4.5,12.4,4.8,12.2,4.9,17.2,6.1,7.9,3.8,15.4,4.6,23.8,5.5,96959,21068
1085.12,2692,255,50801,4346,1811,196,2,1.6,1.2,1.4,4.4,2.9,5.7,2.3,15.4,4.2,12.1,4.7,7.5,3.9,17.6,4.6,34.1,6.3,115841,15328
1085.13,2124,245,29983,4850,1485,228,2.4,2.8,5.4,3.7,14.6,9.1,20.5,7.3,21.3,6.6,19.5,7.2,2.1,1.9,5.7,3.9,8.6,4.7,45511,6062
1085.14,2629,247,30090,4972,1744,214,1.9,2.9,4.5,3.8,18.1,7.5,14.6,5.4,25.1,8.4,10.4,4.1,5.9,3.6,7,3.4,12.4,4.9,52444,5626
1085.15,2417,343,27073,5099,1453,313,0,1.4,12.9,9,12.9,8.4,15.5,7.8,17.5,8.2,13.7,7.4,5.8,3.9,8.9,4.8,12.8,6.8,52565,10066
1085.19,2016,245,38377,2931,1239,223,3.5,3.3,6,4.2,4.8,2.8,14.9,5.9,18.2,7.1,12.2,5.1,9.1,6.4,12.4,5.3,18.8,6.1,65032,9030
1085.2,1266,127,51622,8090,879,86,1.9,1.8,2.3,2,8.6,4.7,9.9,5.4,12.4,5.7,13.1,6,2.3,2.5,10.5,5.1,39,8,130359,23432
1085.21,920,117,28274,4694,652,97,3.1,4.7,6.9,6.9,21.8,9.7,24.2,8.4,22.1,7.6,13.5,5.3,2.1,2.3,3.2,3.7,3.1,2.3,38555,5125
1085.23,3569,269,37157,2650,2783,244,0,0.7,0,0.7,10,3.8,20.9,5.9,27.6,7.1,15.8,4.5,5,3.3,10.8,4.3,9.8,4.2,54488,5216
